股票代號,日期,資金流向,MFI(%)
8464,2022-04-18,-23185000,37.07
8463,2022-04-18,28000,66.67
8462,2022-04-18,1405000,68.97
8458,2022-04-18,-16000,49.05
8455,2022-04-18,-26000,39.91
8454,2022-04-18,1704000,50.42
8450,2022-04-18,-447000,46.84
8446,2022-04-18,87000,60.04
8443,2022-04-18,58000,66.82
8478,2022-04-18,-145755000,38.74
6435,2022-04-18,-9663000,36.45
6841,2022-04-18,662000,57.24
6838,2022-04-18,-904000,39.48
6586,2022-04-18,-98355000,38.87
6585,2022-04-18,1097000,71.13
6584,2022-04-18,-58000,33.02
6583,2022-04-18,0,50.08
6582,2022-04-18,-9243000,33.08
6581,2022-04-18,-34866000,45.25
6580,2022-04-18,762000,54.17
6578,2022-04-18,40785000,57.91
6576,2022-04-18,-19803000,29.96
6575,2022-04-18,11802000,57.49
6573,2022-04-18,327000,56.48
6572,2022-04-18,-2307000,45.85
6570,2022-04-18,41000,57.11
6569,2022-04-18,1000,50.02
6568,2022-04-18,-1985000,46.16
6566,2022-04-18,173000,72.79
6565,2022-04-18,-201000,24.01
6564,2022-04-18,35068000,57.33
6562,2022-04-18,7187000,65.20
6560,2022-04-18,-837000,28.64
6558,2022-04-18,-458000,30.94
6555,2022-04-18,-1254000,37.45
6552,2022-04-18,-778000,16.72
6589,2022-04-18,-16446000,34.26
6591,2022-04-18,446000,51.76
6592,2022-04-18,20528000,63.54
6593,2022-04-18,76000,60.35
6643,2022-04-18,-3310000,35.31
6642,2022-04-18,0,50.04
6639,2022-04-18,15000,53.79
6638,2022-04-18,-172000,40.11
6634,2022-04-18,-570000,44.55
6626,2022-04-18,47000,83.57
6622,2022-04-18,75000,52.83
6621,2022-04-18,1360000,55.48
6620,2022-04-18,2400000,58.69
6618,2022-04-18,-571000,32.93
6617,2022-04-18,-2197000,29.14
6550,2022-04-18,7147000,53.00
6616,2022-04-18,20000,55.68
6613,2022-04-18,-2836000,30.22
6612,2022-04-18,-2750000,12.54
6611,2022-04-18,179000,65.13
6610,2022-04-18,250000,57.11
6609,2022-04-18,-1082000,22.62
6606,2022-04-18,-174000,42.92
6605,2022-04-18,815000,62.97
6603,2022-04-18,13857000,57.02
6598,2022-04-18,474894000,60.90
6595,2022-04-18,102000,66.83
6594,2022-04-18,236000,52.48
6615,2022-04-18,0,50.05
6549,2022-04-18,268000,63.01
6548,2022-04-18,5299000,55.24
6547,2022-04-18,35582000,53.85
6495,2022-04-18,-5892000,36.80
6494,2022-04-18,-7519000,39.17
6493,2022-04-18,330000,85.02
6491,2022-04-18,-19145000,38.99
6488,2022-04-18,-206807000,19.60
6486,2022-04-18,-530000,36.07
6485,2022-04-18,-14668000,28.25
6477,2022-04-18,-42944000,46.69
6474,2022-04-18,-43000,33.43
6473,2022-04-18,-112000,25.03
6472,2022-04-18,2970000,58.36
6496,2022-04-18,-26000,48.28
6470,2022-04-18,4079000,62.73
6465,2022-04-18,0,49.86
6462,2022-04-18,-33824000,16.04
6461,2022-04-18,8603000,76.57
6457,2022-04-18,4054000,66.13
6456,2022-04-18,5068000,66.07
